sentence,keywords,code,theme,label
creating a responsive layout,"css, javascript, api",<div>Hello</div>,Web Development,1
,"sql, database, neural network",import sklearn,Databases,0
working on a web app,"api, react, training",predict(X_test),Web Development,0
fetching records,"rows, database, api",fetch('/api/data'),Databases,0
debugging rn,"computer, typing",console.log('test'),Machine Learning,0
working on predictions,"dataset, model, query",CREATE TABLE users(id INT);,Machine Learning,0
coding lang eh,"database, rows",,Databases,1
working on a web app,"css, html, rows",UPDATE users SET name='Alex';,Web Development,0
improving accuracy,"prediction, training, react",fetch('/api/data'),Machine Learning,0
uh fixing stuff,"computer, code",echo 'hi';,Web Development,0
improving accuracy,"model, accuracy, index",UPDATE users SET name='Alex';,Machine Learning,0
idk doing coding,"typing, code",print('hello'),Databases,0
idk doing coding,"neural network, accuracy, training",from tensorflow import keras,Machine Learning,1
,"frontend, node, html",function App() { return <h1>Hi</h1>; },Web Development,1
training a model,"accuracy, prediction, ai",from tensorflow import keras,Machine Learning,1
training a model,"neural network, accuracy, table",INSERT INTO users VALUES ('John');,Machine Learning,0
fixing frontend bugs,"frontend, react, columns",SELECT * FROM users;,Web Development,0
analyzing data,"model, dataset, index",CREATE TABLE users(id INT);,Machine Learning,0
making a login system,"react, frontend",fetch('/api/data'),Web Development,1
working on predictions,"prediction, dataset, accuracy, neural network",from tensorflow import keras,Machine Learning,1
debugging rn,"css, backend, rows",,Web Development,0
building a website,"node, api, react",console.log('hello'),Web Development,1
working on predictions,"dataset, training",predict(X_test),Machine Learning,1
making something idk,"code, computer",int a = 5;,Machine Learning,0
making something idk,"code, typing",echo 'hi';,Databases,0
creating a responsive layout,"backend, frontend, javascript",fetch('/api/data'),Web Development,1
working on a web app,"backend, frontend, index",CREATE TABLE users(id INT);,Web Development,0
optimizing database,"database, sql, frontend",document.getElementById('app'),Databases,0
working on something,"computer, programming",echo 'hi';,Databases,0
training a model,"dataset, prediction, react",<div>Hello</div>,Machine Learning,0
working on predictions,"ai, training, table",DELETE FROM users WHERE id=1;,Machine Learning,0
trying to fix bugs,"javascript, backend, query",INSERT INTO users VALUES ('John');,Web Development,0
creating a responsive layout,"html, node",fetch('/api/data'),Web Development,1
fetching records,"sql, rows",,Databases,1
,"index, query, columns, sql",INSERT INTO users VALUES ('John');,Databases,1
working on a web app,"react, javascript, node, html",console.log('hello'),Machine Learning,0
trying to fix bugs,"typing, programming",console.log('test'),Web Development,0
working on something,"programming, typing",echo 'hi';,Machine Learning,0
working on something,"programming, computer",int a = 5;,Machine Learning,0
,,predict(X_test),Web Development,0
working on a web app,"frontend, react",document.getElementById('app'),Databases,0
debugging rn,"node, frontend",function App() { return <h1>Hi</h1>; },Web Development,1
managing tables,"columns, query",UPDATE users SET name='Alex';,Machine Learning,0
working on a web app,"backend, node, api, css",document.getElementById('app'),Web Development,1
idk doing coding,"table, database, columns",CREATE TABLE users(id INT);,Databases,1
improving accuracy,"neural network, ai, table",INSERT INTO users VALUES ('John');,Machine Learning,0
optimizing database,"rows, query",UPDATE users SET name='Alex';,Databases,1
creating a responsive layout,"html, frontend, model",import sklearn,Web Development,0
,"index, query, accuracy",import sklearn,Databases,0
optimizing database,"database, table",DELETE FROM users WHERE id=1;,Machine Learning,0
optimizing database,"database, table",INSERT INTO users VALUES ('John');,Web Development,0
optimizing database,"database, table, index",INSERT INTO users VALUES ('John');,Databases,1
working on something,"computer, code",console.log('test'),Machine Learning,0
idk doing coding,"computer, programming",echo 'hi';,Databases,0
testing a neural network,"dataset, training",,Machine Learning,1
managing tables,"table, rows, columns, sql",CREATE TABLE users(id INT);,Web Development,0
fixing frontend bugs,"javascript, backend, query",INSERT INTO users VALUES ('John');,Web Development,0
fixing frontend bugs,"frontend, api",,Web Development,1
working on a web app,"css, node, dataset",from tensorflow import keras,Web Development,0
making something idk,"sql, rows, api",console.log('hello'),Databases,0
working on something,"accuracy, ai, training, neural network",predict(X_test),Machine Learning,1
creating a responsive layout,"html, backend, css",console.log('hello'),Web Development,1
analyzing data,,,Machine Learning,0
training a model,"ai, neural network, dataset, prediction",import sklearn,Machine Learning,1
uh fixing stuff,"backend, api, html",<div>Hello</div>,Web Development,1
fixing frontend bugs,"css, javascript, frontend",fetch('/api/data'),Web Development,1
idk doing coding,"computer, code",echo 'hi';,Databases,0
analyzing data,"dataset, training, sql",DELETE FROM users WHERE id=1;,Machine Learning,0
working on something,"react, api",document.getElementById('app'),Web Development,1
analyzing data,"accuracy, prediction, dataset",from tensorflow import keras,Machine Learning,1
working on something,"rows, sql, query",INSERT INTO users VALUES ('John');,Web Development,0
working on a web app,"react, javascript",console.log('hello'),Web Development,1
making something idk,"accuracy, prediction, model, neural network",predict(X_test),Machine Learning,1
working on something,"computer, programming",console.log('test'),Web Development,0
writing SQL queries,"sql, index, query, table",DELETE FROM users WHERE id=1;,Web Development,0
building a website,"html, css, frontend, node",function App() { return <h1>Hi</h1>; },Web Development,1
working on predictions,"dataset, neural network, ai, prediction",,Machine Learning,1
fetching records,"index, sql, react",document.getElementById('app'),Databases,0
debugging rn,"typing, code",int a = 5;,Databases,0
training a model,"ai, dataset, prediction",import sklearn,Web Development,0
building a website,"javascript, node, react",console.log('hello'),Web Development,1
,"rows, table, sql, columns",CREATE TABLE users(id INT);,Machine Learning,0
uh fixing stuff,"typing, programming",print('hello'),Web Development,0
optimizing database,"columns, sql, prediction",predict(X_test),Databases,0
debugging rn,"code, computer",int a = 5;,Web Development,0
optimizing database,"index, table",CREATE TABLE users(id INT);,Databases,1
debugging rn,"typing, programming",print('hello'),Databases,0
trying to fix bugs,"programming, typing",echo 'hi';,Machine Learning,0
idk doing coding,"code, computer",console.log('test'),Databases,0
writing SQL queries,"index, sql",SELECT * FROM users;,Databases,1
handling data storage,"columns, query, sql",DELETE FROM users WHERE id=1;,Web Development,0
,"sql, database, css",document.getElementById('app'),Databases,0
building a website,,INSERT INTO users VALUES ('John');,Web Development,0
fetching records,"query, sql, table",INSERT INTO users VALUES ('John');,Databases,1
trying to fix bugs,"node, backend",document.getElementById('app'),Databases,0
fixing frontend bugs,,fetch('/api/data'),Web Development,1
trying to fix bugs,"columns, rows, api",document.getElementById('app'),Databases,0
optimizing database,"query, table, node",document.getElementById('app'),Databases,0
making something idk,"computer, code",console.log('test'),Web Development,0
working on a web app,"backend, css, node, javascript",function App() { return <h1>Hi</h1>; },Web Development,1
testing a neural network,"dataset, prediction, accuracy, neural network",predict(X_test),Machine Learning,1
testing a neural network,,document.getElementById('app'),Machine Learning,0
,,SELECT * FROM users;,Machine Learning,0
fixing frontend bugs,"html, javascript",<div>Hello</div>,Databases,0
analyzing data,"ai, training, accuracy",,Databases,0
making something idk,"sql, query, api",document.getElementById('app'),Databases,0
working on a web app,"node, html, frontend",document.getElementById('app'),Web Development,1
creating a responsive layout,"node, css, ai",from tensorflow import keras,Web Development,0
uh fixing stuff,"programming, code",console.log('test'),Machine Learning,0
uh fixing stuff,"programming, typing",echo 'hi';,Web Development,0
uh fixing stuff,"training, neural network, accuracy, dataset",loss.backward(),Machine Learning,1
handling data storage,"query, table, neural network","model.fit(X, y)",Databases,0
trying to fix bugs,"sql, rows, react",<div>Hello</div>,Databases,0
training a model,"prediction, neural network, query",UPDATE users SET name='Alex';,Machine Learning,0
handling data storage,"database, query",INSERT INTO users VALUES ('John');,Databases,1
idk doing coding,"dataset, prediction, model, ai",loss.backward(),Web Development,0
working on a web app,"node, frontend, training",from tensorflow import keras,Web Development,0
working on predictions,"training, neural network",from tensorflow import keras,Web Development,0
building a website,"html, javascript",function App() { return <h1>Hi</h1>; },Databases,0
uh fixing stuff,"html, react, database",SELECT * FROM users;,Web Development,0
improving accuracy,"training, accuracy, sql",INSERT INTO users VALUES ('John');,Machine Learning,0
debugging rn,"react, css, neural network",import sklearn,Web Development,0
,"accuracy, dataset, react",,Machine Learning,0
analyzing data,"neural network, prediction, ai",predict(X_test),Machine Learning,1
debugging rn,"typing, computer",console.log('test'),Databases,0
coding lang eh,"ai, training, css",console.log('hello'),Machine Learning,0
managing tables,"rows, query, database, sql",UPDATE users SET name='Alex';,Databases,1
coding lang eh,"dataset, prediction",,Machine Learning,1
,"columns, rows, sql, database",SELECT * FROM users;,Databases,1
uh fixing stuff,"programming, code",console.log('test'),Machine Learning,0
trying to fix bugs,"typing, programming",int a = 5;,Databases,0
training a model,"ai, model, training",,Machine Learning,1
working on something,"programming, typing",echo 'hi';,Machine Learning,0
handling data storage,"query, columns, database, sql",CREATE TABLE users(id INT);,Machine Learning,0
uh fixing stuff,"code, programming",print('hello'),Web Development,0
,"accuracy, neural network, training, ai",loss.backward(),Databases,0
working on predictions,"accuracy, training, dataset",from tensorflow import keras,Web Development,0
trying to fix bugs,"code, programming",echo 'hi';,Web Development,0
debugging rn,"query, rows",CREATE TABLE users(id INT);,Web Development,0
working on predictions,"training, model, neural network, dataset",import sklearn,Web Development,0
handling data storage,"columns, table, sql, rows",UPDATE users SET name='Alex';,Machine Learning,0
uh fixing stuff,"code, typing",console.log('test'),Web Development,0
debugging rn,"sql, database, query",CREATE TABLE users(id INT);,Databases,1
fixing frontend bugs,,function App() { return <h1>Hi</h1>; },Web Development,1
fixing frontend bugs,"node, html, index",UPDATE users SET name='Alex';,Web Development,0
working on something,"computer, code",print('hello'),Databases,0
optimizing database,"index, columns, database, sql",SELECT * FROM users;,Databases,1
making something idk,"javascript, frontend, backend, node",fetch('/api/data'),Databases,0
optimizing database,"index, sql, columns",INSERT INTO users VALUES ('John');,Databases,1
managing tables,"columns, query, index, sql",CREATE TABLE users(id INT);,Databases,1
analyzing data,"prediction, ai, node",document.getElementById('app'),Machine Learning,0
fetching records,"query, table, training",from tensorflow import keras,Databases,0
working on a web app,"frontend, react",console.log('hello'),Web Development,1
testing a neural network,"training, prediction",predict(X_test),Machine Learning,1
coding lang eh,"computer, programming",print('hello'),Databases,0
uh fixing stuff,"computer, programming",echo 'hi';,Machine Learning,0
idk doing coding,"dataset, prediction, ai",predict(X_test),Machine Learning,1
making a login system,"api, css, frontend",fetch('/api/data'),Web Development,1
working on a web app,"react, frontend, backend, api",function App() { return <h1>Hi</h1>; },Web Development,1
creating a responsive layout,"node, frontend, javascript",<div>Hello</div>,Machine Learning,0
making a login system,"react, javascript, frontend, api",<div>Hello</div>,Machine Learning,0
uh fixing stuff,"query, table",UPDATE users SET name='Alex';,Web Development,0
improving accuracy,"ai, prediction, accuracy","model.fit(X, y)",Machine Learning,1
,"columns, query, prediction",predict(X_test),Databases,0
working on predictions,"ai, training, model, neural network",,Databases,0
debugging rn,"frontend, backend",console.log('hello'),Web Development,1
analyzing data,"training, dataset, model, accuracy",,Web Development,0
handling data storage,"query, sql, index, columns",SELECT * FROM users;,Databases,1
working on a web app,,,Databases,0
working on something,"code, typing",echo 'hi';,Machine Learning,0
fixing frontend bugs,"javascript, react, backend, api",<div>Hello</div>,Web Development,1
trying to fix bugs,"model, dataset, prediction, ai",predict(X_test),Web Development,0
creating a responsive layout,"html, javascript, node",function App() { return <h1>Hi</h1>; },Web Development,1
working on something,,function App() { return <h1>Hi</h1>; },Web Development,1
working on predictions,"accuracy, dataset, api",document.getElementById('app'),Machine Learning,0
creating a responsive layout,"javascript, node, backend, css",fetch('/api/data'),Web Development,1
debugging rn,,function App() { return <h1>Hi</h1>; },Web Development,1
managing tables,"columns, rows, query",SELECT * FROM users;,Databases,1
fetching records,"table, database",INSERT INTO users VALUES ('John');,Web Development,0
working on predictions,"ai, accuracy, dataset",,Web Development,0
working on something,"html, api, css, backend",document.getElementById('app'),Machine Learning,0
building a website,"api, node, css, react",fetch('/api/data'),Machine Learning,0
,,loss.backward(),Databases,0
working on a web app,"css, api, index",,Web Development,0
optimizing database,"table, database",CREATE TABLE users(id INT);,Databases,1
fetching records,"query, sql, backend",<div>Hello</div>,Databases,0
analyzing data,"accuracy, ai, backend",<div>Hello</div>,Machine Learning,0
idk doing coding,"backend, css",<div>Hello</div>,Web Development,1
,"node, html",console.log('hello'),Machine Learning,0
handling data storage,"query, sql",SELECT * FROM users;,Databases,1
working on something,"computer, programming",echo 'hi';,Databases,0
debugging rn,"ai, prediction, html",document.getElementById('app'),Machine Learning,0
training a model,,predict(X_test),Machine Learning,1
training a model,"neural network, training, prediction, accuracy",predict(X_test),Machine Learning,1
analyzing data,"ai, model, api",function App() { return <h1>Hi</h1>; },Machine Learning,0
analyzing data,"training, dataset, ai, model",,Machine Learning,1
analyzing data,"training, prediction",from tensorflow import keras,Machine Learning,1
,"node, api",,Machine Learning,0
debugging rn,"typing, programming",int a = 5;,Web Development,0
optimizing database,"table, database",UPDATE users SET name='Alex';,Web Development,0
making something idk,"api, node",,Web Development,1
working on something,"dataset, training, model, accuracy",import sklearn,Web Development,0
analyzing data,"accuracy, model, html",console.log('hello'),Machine Learning,0
writing SQL queries,"columns, sql, database, index",DELETE FROM users WHERE id=1;,Databases,1
working on predictions,"prediction, ai, query",UPDATE users SET name='Alex';,Machine Learning,0
testing a neural network,"dataset, model, sql",DELETE FROM users WHERE id=1;,Machine Learning,0
,"ai, training, javascript",function App() { return <h1>Hi</h1>; },Machine Learning,0
working on something,"ai, prediction",from tensorflow import keras,Machine Learning,1
idk doing coding,"frontend, backend, model",import sklearn,Web Development,0
working on a web app,"javascript, react, node, frontend",document.getElementById('app'),Web Development,1
improving accuracy,"model, prediction, api",console.log('hello'),Machine Learning,0
fixing frontend bugs,"react, node, css",document.getElementById('app'),Web Development,1
fetching records,"columns, index, table",SELECT * FROM users;,Databases,1
testing a neural network,"ai, dataset, database",CREATE TABLE users(id INT);,Machine Learning,0
building a website,"css, html, frontend",console.log('hello'),Web Development,1
idk doing coding,"database, columns",INSERT INTO users VALUES ('John');,Databases,1
coding lang eh,"code, typing",print('hello'),Web Development,0
,"prediction, model, rows",INSERT INTO users VALUES ('John');,Machine Learning,0
uh fixing stuff,"database, rows, api",console.log('hello'),Databases,0
training a model,"neural network, model","model.fit(X, y)",Databases,0
making something idk,"code, typing",print('hello'),Machine Learning,0
building a website,"css, react, backend",fetch('/api/data'),Web Development,1
creating a responsive layout,"html, javascript",fetch('/api/data'),Web Development,1
fetching records,"index, columns, rows, sql",SELECT * FROM users;,Web Development,0
creating a responsive layout,,<div>Hello</div>,Machine Learning,0
fixing frontend bugs,"backend, javascript, react, node",console.log('hello'),Machine Learning,0
coding lang eh,"database, table, javascript",document.getElementById('app'),Databases,0
writing SQL queries,"table, database",DELETE FROM users WHERE id=1;,Databases,1
working on predictions,"dataset, model, react",console.log('hello'),Machine Learning,0
,"accuracy, prediction, columns",DELETE FROM users WHERE id=1;,Machine Learning,0
testing a neural network,,"model.fit(X, y)",Web Development,0
trying to fix bugs,"prediction, dataset",predict(X_test),Web Development,0
debugging rn,"computer, typing",echo 'hi';,Web Development,0
creating a responsive layout,"node, backend, columns",UPDATE users SET name='Alex';,Web Development,0
fixing frontend bugs,,<div>Hello</div>,Web Development,1
testing a neural network,"model, accuracy, ai",loss.backward(),Machine Learning,1
building a website,"frontend, react",document.getElementById('app'),Web Development,1
uh fixing stuff,"computer, typing",console.log('test'),Databases,0
debugging rn,"javascript, frontend, model",predict(X_test),Web Development,0
debugging rn,"dataset, model, columns",UPDATE users SET name='Alex';,Machine Learning,0
working on something,"javascript, frontend",document.getElementById('app'),Databases,0
managing tables,"database, rows, html",document.getElementById('app'),Databases,0
debugging rn,"typing, programming",echo 'hi';,Databases,0
